ticker,age_years,last_close,score_total,score_long_coil,score_tight_resistance,score_ascending_compression,pos_in_10y_range,dist_to_10y_high_pct,range_ratio_24_120,range_ratio_24_60,low_36m_above_10y_low_pct,slope_high_60m,slope_low_60m,trend_r2_60m,peak_age_months,old_peak_similarity,lifecycle,status,grade,lid_grade,coil_score,lid_slope_pct_per_year,proximity_pct,span_years,touches,touch_count,reviewed,review_status,review_id,review_as_of,review_algorithm_version,review_stale,review_effective,data_date,freshness,fetched_at,data_source
ULVR.L,38.083333333333336,4583.5,0.14553284974281466,0.48291333253828217,0.06705208209106583,0.18226381864918145,0.8036416656728527,0.19635833432714736,0.9717182070184988,1.0,,0.031236674380461807,0.010724430595265762,0.3992718876501554,338.0,1.0370916226912872,pre_breakout,coiling,A,A,85.0,-0.27,82.43,27.58,5.0,5.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:08:59.557Z,yfinance
ALV.DE,29.666666666666668,421.0,0.43173765775610595,0.7075521645476714,0.4858114226017068,0.4848424853009546,0.9854085603834785,0.010575793184488837,0.607003878151841,0.6951871575938032,0.7963280003799712,0.05351746357077839,0.05162472260260544,0.887829454929248,315.0,1.045828437132785,pre_breakout,coiling,A,A,77.3,-0.14,98.94,26.25,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:03.004Z,yfinance
ENB.TO,31.583333333333332,77.97000122070312,0.47009264422408986,0.5490578901217209,0.4367237035919397,0.4303780680690888,0.9436856420133874,0.033230009354876765,0.6186174059048692,0.7767810357818589,0.2931033945611835,0.04427642504244981,0.04107561361381776,0.542852668230994,135.0,0.8200867717085596,pre_breakout,coiling,A,A,72.6,1.62,96.42,11.08,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:08:57.721Z,yfinance
0005.HK,26.583333333333332,153.5,0.44844475383368787,0.7333858507466053,0.4881413749451483,0.493578780576454,0.9913453497191831,0.0071151750329110156,0.7352478370577502,0.8035253573539635,1.018181818181818,0.050589243550084255,0.0537157561152908,0.8099925798486922,225.0,0.992884824967089,pre_breakout,coiling,A,A,71.5,0.09,99.29,19.67,3.0,3.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:20.651Z,yfinance
NOVN.SW,31.333333333333332,124.58000183105469,0.30104477156934156,0.42924147047920497,0.3731454105932831,0.4849692636101871,0.9138598212883192,0.04900761961026956,0.6695321300782398,0.8053213445537908,0.4361521008641213,0.0528199522702409,0.051993852722037416,0.8288574504974191,0.0,0.7706870159120051,pre_breakout,coiling,A,A,71.1,2.96,96.63,10.58,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:12.793Z,yfinance
BAS.DE,29.666666666666668,48.849998474121094,0.33649039631744504,0.4890487900585743,0.2844333229458649,0.16527686905185057,0.18707784645343062,0.5055668323357205,0.28741148732582505,0.5498132793289933,0.0012047111282037508,-0.045569483637687785,-0.03163143580544371,0.2147495640596303,102.0,1.0,pre_breakout,coiling,A,A,65.2,0.11,88.71,2.0,3.0,3.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:03.876Z,yfinance
CNR.TO,29.75,177.52999877929688,0.5319798791038043,0.6337386035575066,0.46498292677166686,0.46296165324287303,0.9623629584174993,0.021010243936999896,0.5165464337948955,0.9467680125142525,0.5742104562417895,-0.008021183019645424,-0.0006113016214927767,0.08752699200543479,28.0,1.0,pre_breakout,coiling,A,A,64.6,-0.71,99.51,2.33,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:08:57.148Z,yfinance
2317.TW,33.583333333333336,235.5,0.013226478319223633,0.2574327841020597,0.0,0.21221751736998745,0.6838501851180534,0.25,0.8115183146332768,0.9159090909090909,0.4307458807654478,0.05095038053810406,0.040673466450386817,0.739731956956411,0.0,0.7468152866242038,pre_breakout,coiling,A,A,64.2,4.76,87.91,8.33,3.0,3.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:37.831Z,yfinance
ITUB4.SA,25.666666666666668,43.52000045776367,0.0921757387425042,0.3409462784312846,0.20136664011405842,0.37499354903206106,0.8761828480391057,0.12381715196089424,1.0,1.0,,0.04668479737178727,0.034762140198591064,0.8132106215580894,0.0,0.7070495945991196,pre_breakout,coiling,A,A,62.7,4.37,83.51,8.0,3.0,3.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:28.665Z,yfinance
SBK.JO,26.583333333333332,32212.0,0.17860498827855167,0.4733014253543348,0.4168484619731878,0.25,0.9498701166778619,0.04979351032448377,1.0,1.0,0.0,0.04184541276946127,-0.010914592240929126,0.8602998151965465,67.0,0.808549329369469,pre_breakout,coiling,A,A,57.8,3.78,94.3,8.25,3.0,3.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:43.563Z,yfinance
