ticker,age_years,last_close,score_total,score_long_coil,score_tight_resistance,score_ascending_compression,pos_in_10y_range,dist_to_10y_high_pct,range_ratio_24_120,range_ratio_24_60,low_36m_above_10y_low_pct,slope_high_60m,slope_low_60m,trend_r2_60m,peak_age_months,old_peak_similarity
LIN,33.916666666666664,499.6499938964844,0.6607028367616871,0.854985003321962,0.7739015380687312,0.6783816027113754,0.9727951721332863,0.02154117327225475,0.30387791519518637,0.4950842080074645,2.297902494168332,0.055378608299223635,0.05488790077103586,0.8340043232945907,25.0,0.9354939727110158
PFG,24.583333333333332,94.13999938964844,0.6284857519031818,0.7802688770956399,0.523234433764279,0.5424347226576712,0.9498458096454754,0.038210032373483034,0.39546732920411226,0.7519122849114124,1.795795781298213,0.041012513464424125,0.04887746804611369,0.5108860985298689,41.0,0.9825296369793989
AIG,41.333333333333336,77.0199966430664,0.6173294026362439,0.8878079635639551,0.5445742404539151,0.6576772569741377,0.8465277353922526,0.12546841251331592,0.2648611068725586,0.43808867975190535,2.0460486429694913,0.05509576572002892,0.054583460503838756,0.7734084882393044,304.0,23.5608039876256
UNP,41.333333333333336,252.0399932861328,0.612289543858556,0.7361574059267253,0.4059765505028911,0.7029391552474158,0.8643195356328625,0.09643654162125426,0.3201856668129615,0.6664568082554134,1.363782920085497,0.007206507610813679,0.04235208958867454,0.08661441874821862,49.0,1.0
GWW,41.333333333333336,1155.4200439453125,0.6029951952379958,0.8239499354753674,0.7217661059880656,0.6962842620378328,0.9326534149381074,0.058843644187411524,0.328790150162207,0.42161391613186117,3.1416129819808467,0.05590108962016389,0.05607373351179932,0.8989387980936784,25.0,0.8423993816838456
SPG,32.416666666666664,202.9600067138672,0.5907489073153448,0.7771233202458745,0.39487860179825496,0.5667682743504231,0.8601016936806158,0.11409864117523177,0.3681027376643086,0.5774978980729533,1.3708875306259245,0.03740114568538758,0.05101907582948016,0.5638146951557332,117.0,1.0
GRMN,25.416666666666668,264.4800109863281,0.5818144690827328,0.6463740665345157,0.5634142035755166,0.5042794848699829,0.996769568961473,0.0027524621706179037,0.5054210586458117,0.604797703262835,1.441131417384539,0.037701635260621716,0.04230009425318562,0.5715909636113483,0.0,0.6742204416113825
ALL,32.916666666666664,214.8800048828125,0.5817980725955605,0.6590188113834572,0.7047461441082056,0.6090031855763235,0.9877473785641812,0.008627428452998846,0.39372294100706506,0.5172146340166056,0.5682208639025645,0.052905848590171084,0.04901046390266975,0.7584451830272344,24.0,0.8162860100382064
WM,37.916666666666664,227.08999633789062,0.5795027957572015,0.7902495488507124,0.6137860805857857,0.677550532322879,0.8887948835313676,0.08479429384148324,0.28551798607538753,0.4859661973083804,1.5404718469128917,0.05528779975388607,0.055002040021635425,0.8324391120923444,25.0,0.8646273689772276
REG,32.583333333333336,79.56999969482422,0.5787304976983212,0.7047601203149372,0.39181945425312337,0.6387585623350124,0.8920635133212721,0.06772113512163007,0.4074696546349,0.7812387918513806,0.7207547966520392,0.015303747358705449,0.04609308787451189,0.22178513160392066,230.0,1.095371992210598
FCX,30.833333333333332,68.2699966430664,0.5720665552969403,0.7707048933423406,0.4646355231318138,0.40464865945547696,0.9772061703242505,0.02121868612091174,0.6482365665157104,0.9363737361110439,4.738588975584652,0.036728058862728376,0.03592973189109539,0.27290719333057734,215.0,0.9121146800270218
VTR,29.0,85.33999633789062,0.5713964474465916,0.787185103011341,0.44285379060545893,0.40609431812057806,0.9596106863081026,0.03428772563672462,0.5962410283491949,0.8433258405890974,1.9460674687055532,0.032666921732713065,0.03595036564905812,0.4247244488276467,155.0,1.0868945447111256
EQIX,25.75,1057.3699951171875,0.5658552473379903,0.6768993853593652,0.5206472989591291,0.4618539042028894,0.9963784320713271,0.0025469556809214274,0.5042520020509883,0.6651508848684026,1.1391830583242313,0.04111194463950283,0.03804241562053438,0.28220178348116864,25.0,0.8630845501078812
CSX,41.333333333333336,42.5099983215332,0.5615056248526048,0.7409094274571207,0.47890840923757994,0.39009564254641377,0.976140876971565,0.019377166831720895,0.4865555752514623,0.9760683706807789,2.21981158237638,0.02422631915968931,0.01529315391244082,0.14942051957970837,26.0,0.9254902040154728
AMZN,29.0,249.02000427246094,0.5572423457979153,0.6635115165286574,0.5287233965256982,0.4285438846446598,0.957573066697378,0.03704563652337999,0.4738264049586197,0.6038832871910794,2.0838415816665643,0.04015060889658869,0.024830897796767625,0.4961017946535875,0.0,0.7338360394179474
TT,41.333333333333336,470.57000732421875,0.5563068663471635,0.7076598629143609,0.6768850047977097,0.620952671446762,0.9797011034328206,0.018357402179119475,0.41801945039314514,0.5051710294065916,2.534171827172758,0.0530774464958503,0.052275568560762174,0.8394091925767553,0.0,0.6823330614548158
MOS,38.333333333333336,23.940000534057617,0.5554417285008798,0.8,0.48495466705522977,0.26283038012619714,0.2396262823106646,0.6980322792296852,0.21805439953372427,0.2788123584400113,2.4400000939002404,-0.028460354384856345,-0.0033965592194426424,0.3909182755129669,214.0,2.0591574484563564
CNP,41.333333333333336,42.900001525878906,0.5503785771389039,0.7505485610030189,0.44115884672334643,0.47751250132077266,0.9522651373392447,0.035304691965992153,0.5795074679742027,0.9123982857785118,1.194300519414849,0.048224247107605527,0.04903874797659758,0.6595028407741184,299.0,0.9563604477924338
YUM,28.666666666666668,161.57000732421875,0.5458467930952783,0.667659792088919,0.4726685383202042,0.5578987518630125,0.9316673177274524,0.04616560655060475,0.41296751750572397,0.7224091020941767,1.1024567274840709,0.05050521218540841,0.05322028733729706,0.6534577964689163,35.0,0.8456815663035779
JCI,38.666666666666664,142.0500030517578,0.5325017394580777,0.7131687073208579,0.44948458057532303,0.45394256139785566,0.9641095928469943,0.030309251654806184,0.7005092579023412,0.8582747285367186,1.1027216892912426,0.03987010542141095,0.045788512279571134,0.5102132164248141,303.0,0.8984174462460766
MSCI,18.5,545.6900024414062,0.5294859949194999,0.6223369577418596,0.2692113965560038,0.7453088921126187,0.7794654650363485,0.19733761559512264,0.3020679517796259,0.6055893315589743,5.152286380426928,-0.0016781270913812827,0.05294108413936096,0.07896864463666997,53.0,1.0
BG,24.75,122.33000183105469,0.5288291747043159,0.7386046484538775,0.3246396910678502,0.47905369379606916,0.9067328132921807,0.07276579532842542,0.6269308825578672,1.0,1.3241379836509968,0.01108262131397889,0.019281774282511988,0.005644493144849938,219.0,1.023269972672274
NSC,41.333333333333336,299.70001220703125,0.5259008678290882,0.692625844000962,0.36010459147243246,0.49125569285340803,0.9160897545242854,0.0632618305930086,0.490485460833492,0.8645231441867974,1.3255428493737802,-0.005742797107584242,-0.011303576622507722,0.05658220137925396,52.0,0.9351753763952249
NUE,41.333333333333336,190.0399932861328,0.5231402401734733,0.7239703703717507,0.36377248170408083,0.4249268937133785,0.9261411821702741,0.06384239760525708,0.5659656804423067,0.8266877535100264,2.5448599311234466,0.03375875284252854,0.03755435591712618,0.2508765463368521,24.0,1.0
BAC,41.333333333333336,53.349998474121094,0.5209380444523273,0.7124046765057975,0.32548197523593825,0.48822993006971965,0.9076922889896495,0.07298003160067416,0.5380219792381115,0.7511506421485068,1.0713691858415217,0.01691333097210464,0.026407869484459636,0.23557923432181227,233.0,0.9570808438097207
HIG,30.416666666666668,138.77000427246094,0.5151111630087415,0.6990116870510106,0.6238075740813338,0.6213705911467615,0.9543281064135746,0.03965394967155061,0.3841065103863085,0.5693525849351546,2.5215336043958776,0.05412540720112194,0.05452119646659967,0.8754489865518618,0.0,0.7351557325739349
SYK,41.333333333333336,345.8800048828125,0.5091055551311164,0.7197581682300763,0.426513073742812,0.5849060412952388,0.7987721539393969,0.14847730666953968,0.30449437804677165,0.4198758095371817,1.3476708099790013,0.05488913198955804,0.051110362298593615,0.7347767649694413,25.0,0.8897560291731786
