ticker,age_years,last_close,score_total,score_long_coil,score_tight_resistance,score_ascending_compression,pos_in_10y_range,dist_to_10y_high_pct,range_ratio_24_120,low_36m_above_10y_low_pct,slope_high_60m,slope_low_60m
CAT,41.333333333333336,794.25,0.5332555567029146,0.6,0.49104620485430295,0.4855575400156341,0.9941192897026148,0.005372277087418223,0.7282248209761732,1.977983826435255,0.04952903646602541,0.05211150800312682
AER,19.5,148.97000122070312,0.5098917109680424,0.5578318933172538,0.43578158075563467,0.5369416015066752,0.958690830867684,0.03853105154661918,0.5032521600241193,4.12667924931005,0.05165185891487879,0.05459701363868826
UTHR,26.916666666666668,578.5399780273438,0.508043653072127,0.5959952986527952,0.41327295317431106,0.5,0.944994123315994,0.04828182058240885,0.6957532307463532,1.751177622906049,0.05306621681260552,0.05558089372855535
AVT,41.333333333333336,71.75,0.49444501705960575,0.5596265201310048,0.4506355971261583,0.4514878000521937,0.960955564967424,0.029618641724305016,0.6190051692920622,1.1971989009825357,0.053478713728237384,0.045297560010438734
STLD,29.5,195.3000030517578,0.4922118098223118,0.589404793343491,0.3721271822939738,0.5048215147280981,0.9319344769512657,0.06317454833706501,0.5442141823262824,5.044726690174506,0.05528460968775146,0.0557037264569096
AAPL,41.333333333333336,258.8299865722656,0.4771802605356814,0.6179178717295839,0.2517569393001371,0.5675927323551996,0.8881136923582437,0.10321533174729051,0.44885962323551665,6.335643214145257,0.05524028318292312,0.05403907853864395
TEX,41.333333333333336,63.72999954223633,0.4571753088222746,0.7363308812165398,0.21939811011148042,0.34341447118656204,0.8704136015206747,0.10867133507361779,0.6666110621735374,1.7322357704395175,0.04091068938592683,0.02960017393317747
EWY,26.0,146.67999267578125,0.42423156967802145,0.423632828638332,0.39973646731895485,0.4594826986442181,0.9349775064124645,0.04889124941797545,0.9117798973683294,0.2673811763127031,0.004862076162693828,-0.03295085049014228
DD,53.916666666666664,46.68000030517578,0.3773563403753052,0.6424953708015156,0.19005371250394618,0.21535757071327116,0.8534545299364145,0.11355866994994314,0.7391502206028523,0.8979881013928801,0.029239267584769118,0.006112720796653212
PTCT,12.916666666666666,73.01000213623047,0.3327175814627633,0.5400126660525044,0.09550590181814922,0.33314179762163726,0.8264047214545194,0.1655999755859375,0.7042051136263762,3.349875874442985,0.011191550859945854,-0.009124284752702211
XOM,41.333333333333336,149.24000549316406,0.3314966207735836,0.49988153978943844,0.08035716334423834,0.4136759907492991,0.8142857306753907,0.15401619865609176,0.5373205671263112,2.1806706975004677,0.049899208022974255,0.052764813202500205
MSFT,40.166666666666664,393.1099853515625,0.30126754352684515,0.48988852016548473,0.03483278024822711,0.3724826494950869,0.6800614429300146,0.2922675727567726,0.4151672197517729,5.3155701106246305,0.05446233391698905,0.051012111271643276
BDC,32.5,130.25,0.28562735695071173,0.4458141032435335,0.03600311936963335,0.37880249549570666,0.7788024954957067,0.18588664586573048,0.5873559402111977,1.370790801352261,0.056333994019327725,0.05613148935681508
LAZ,21.0,50.02000045776367,0.17998930075412067,0.3964460498660063,0.0,0.0856435232308726,0.7233831032724457,0.18187764218014504,0.7256219131020478,0.23304675436037284,0.02852874960498877,0.001920119825828889
PPC,38.416666666666664,35.09000015258789,0.16133672266763885,0.25927624179353675,0.0,0.23050490380089658,0.4879350350851475,0.38610916294156405,0.5450116471073078,0.4196300489880641,0.05026360100793705,0.05026958861139727
